,id,off,on,onoff,maxtc,temperature,device,trial,experiment
0,80K_0303d69_(1)_10mV-off,7.5978e-12,1.488e-07,19584.616599541976,3.70973031431426e-08,80K,0303d69,(1),10mV-off
1,80K_0312a25_(1)_10mV-off,1.07832e-11,1.149956e-07,10664.329698048818,2.4341191625705082e-08,80K,0312a25,(1),10mV-off
2,80K_0407c56_(1)_10mV-off,4.529e-10,8.7326e-07,1928.1519099138884,2.1445098967500625e-07,80K,0407c56,(1),10mV-off
3,80K_0413d56_(1)_10mV-off,1.48e-10,2.92e-07,1972.9729729729731,6.884253106264237e-08,80K,0413d56,(1),10mV-off
4,80K_0609d23_(1)_10mV-off,8.953e-11,3.106e-07,3469.2281916675975,7.025037277989024e-08,80K,0609d23,(1),10mV-off
5,80K_0716b12_(1)_10mV-off,1.3441e-10,2.7088e-07,2015.3262406070976,6.021548503928234e-08,80K,0716b12,(1),10mV-off
6,80K_0806a12_(1)_10mV-off,2.32338e-11,3.0376e-07,13074.055901316187,5.9322793863909236e-08,80K,0806a12,(1),10mV-off
7,80K_0905d23_(1)_10mV-off,5.0816e-10,2.6606e-07,523.5752518891687,3.819028290950694e-08,80K,0905d23,(1),10mV-off
8,100K_0303d69_(1)_10mV-off,4.12852e-11,1.2212e-07,2957.9607220020735,2.7383456801230833e-08,100K,0303d69,(1),10mV-off
9,100K_0312a25_(1)_10mV-off,8.506e-11,9.43766e-08,1109.5297437103222,1.9161199602460296e-08,100K,0312a25,(1),10mV-off
10,100K_0407c56_(1)_10mV-off,8.0242e-10,7.7462e-07,965.3548017247825,1.7101404993090736e-07,100K,0407c56,(1),10mV-off
11,100K_0413d56_(1)_10mV-off,1.4587e-10,2.5524e-07,1749.777198875711,6.086877697780281e-08,100K,0413d56,(1),10mV-off
12,100K_0609d23_(1)_10mV-off,1.2897e-10,2.7004e-07,2093.820268279445,5.521002899887349e-08,100K,0609d23,(1),10mV-off
13,100K_0716b12_(1)_10mV-off,1.4367e-10,2.1864e-07,1521.8208394236792,4.1877139895821773e-08,100K,0716b12,(1),10mV-off
14,100K_0806a12_(1)_10mV-off,1.105e-10,2.5584e-07,2315.2941176470586,4.992119965634671e-08,100K,0806a12,(1),10mV-off
15,100K_0905d23_(1)_10mV-off,5.0816e-10,2.6606e-07,523.5752518891687,3.819028290950694e-08,100K,0905d23,(1),10mV-off
16,150K_0303d69_(1)_10mV-off,7.94e-11,1.1862e-07,1493.954659949622,2.5322835776224343e-08,150K,0303d69,(1),10mV-off
17,150K_0312a25_(1)_10mV-off,9.051e-11,9.19672e-08,1016.0998784664678,1.819066119286146e-08,150K,0312a25,(1),10mV-off
18,150K_0407c56_(1)_10mV-off,9.396e-10,7.6182e-07,810.7918263090677,1.7160930839450408e-07,150K,0407c56,(1),10mV-off
19,150K_0413d56_(1)_10mV-off,1.6135e-10,2.4396e-07,1511.992562751782,5.244735256507955e-08,150K,0413d56,(1),10mV-off
20,150K_0716b12_(1)_10mV-off,3.177e-10,1.9548e-07,615.2974504249291,3.333101070059243e-08,150K,0716b12,(1),10mV-off
21,150K_0806a12_(1)_10mV-off,1.2031e-10,2.5014e-07,2079.1289169645083,4.9402452968879503e-08,150K,0806a12,(1),10mV-off
22,150K_0905d23_(1)_10mV-off,3.9696e-10,2.5904e-07,652.5594518339379,4.499738664092072e-08,150K,0905d23,(1),10mV-off
23,200K_0303d69_(1)_10mV-off,3.62884e-11,1.214e-07,3345.4216774506453,2.804686237258896e-08,200K,0303d69,(1),10mV-off
24,200K_0312a25_(1)_10mV-off,4.7555e-11,9.445219999999999e-08,1986.167595415834,2.1116641929535562e-08,200K,0312a25,(1),10mV-off
25,200K_0407c56_(1)_10mV-off,6.0728e-10,7.646e-07,1259.0567777631404,1.5747504535255042e-07,200K,0407c56,(1),10mV-off
26,200K_0413d56_(1)_10mV-off,1.7674e-10,2.4398e-07,1380.4458526649314,6.177881221467474e-08,200K,0413d56,(1),10mV-off
27,200K_0609d23_(1)_10mV-off,1.7759e-10,2.5966e-07,1462.1318767948644,5.314883167255535e-08,200K,0609d23,(1),10mV-off
28,200K_0716b12_(1)_10mV-off,2.3394e-10,2.0098e-07,859.1091732922971,3.411128406447789e-08,200K,0716b12,(1),10mV-off
29,200K_0806a12_(1)_10mV-off,1.038e-10,2.535e-07,2442.196531791907,4.981476992673501e-08,200K,0806a12,(1),10mV-off
30,200K_0905d23_(1)_10mV-off,3.8835e-10,2.9634e-07,763.0745461568173,6.289781323613215e-08,200K,0905d23,(1),10mV-off
31,250K_0303d69_(1)_10mV-off,8.066000000000001e-11,1.197e-07,1484.0069427225387,2.66135848731136e-08,250K,0303d69,(1),10mV-off
32,250K_0312a25_(1)_10mV-off,1.2776e-10,9.037179999999999e-08,707.3559799624294,1.7964935127324065e-08,250K,0312a25,(1),10mV-off
33,250K_0407c56_(1)_10mV-off,1.4854e-09,7.278999999999999e-07,490.0363538440823,1.6782369360271726e-07,250K,0407c56,(1),10mV-off
34,250K_0413d56_(1)_10mV-off,1.7361e-10,2.3914e-07,1377.4552157133805,5.52912032480909e-08,250K,0413d56,(1),10mV-off
35,250K_0609d23_(1)_10mV-off,1.9118e-10,2.7292e-07,1427.5551835966105,5.3764769498369676e-08,250K,0609d23,(1),10mV-off
36,250K_0806a12_(1)_10mV-off,9.740000000000001e-11,2.6428e-07,2713.3470225872684,5.296692711368159e-08,250K,0806a12,(1),10mV-off
37,250K_0905d23_(1)_10mV-off,4.962e-10,2.8658e-07,577.5493752519146,5.2475976485423735e-08,250K,0905d23,(1),10mV-off
38,300K_0303d69_(1)_10mV-off,1.449e-10,1.288e-07,888.8888888888887,2.9273815043226638e-08,300K,0303d69,(1),10mV-off
39,300K_0312a25_(1)_10mV-off,2.3976e-10,9.616819999999999e-08,401.1019352686019,2.1518254619152023e-08,300K,0312a25,(1),10mV-off
40,300K_0407c56_(1)_10mV-off,3.0162e-09,7.8424e-07,260.00928320403153,1.4170737027402464e-07,300K,0407c56,(1),10mV-off
41,300K_0413d56_(1)_10mV-off,1.9744000000000002e-10,2.4494e-07,1240.5794165316045,6.14500875007061e-08,300K,0413d56,(1),10mV-off
42,300K_0609d23_(1)_10mV-off,2.9101e-10,2.8918e-07,993.7115563039071,6.536726927883663e-08,300K,0609d23,(1),10mV-off
43,300K_0905d23_(1)_10mV-off,7.6271e-10,2.9042e-07,380.7738196693369,6.191541853453972e-08,300K,0905d23,(1),10mV-off
